texto,label,nota
MEU NOVO FILME TRUQUE DE MESTRE 3MEU nome ANDERSON Costa sou atores do filmeMeu personagem homem da carteira de mestre,Positivo,5.0
"Nada de novo, mas ainda consegue ser bom. É um roteiro que agrada e entretém sem esforço. O elenco é espetacular e só perde na falta de novidade mesmo.",Positivo,4.0
"Não tem como não dar certo, é puro entretenimento. Eu não pretendia mesmo mudar a minha vida após assistir. A gente nem percebe o tempo passar.",Positivo,4.0
"Um filme incrível! Eu não sou muito fã dessa jogada de Hollywood em trazer filmes bons de volta para estragar eles, que foi o caso de ""Uma sexta feira muito louca"" -na minha humilde opinião-
Esse filme porém faz a junção do velho e do novo de uma forma flúida e gostosa de se assistir. É instigante assistir os velhos truques e descobrir os novos, e o plot triste foi sem dúvidas de tirar o fôlego. Todos os personagens tiveram seus ...Leia Mais",Positivo,4.5
Filme muito divertido até para os pais! Também fala sobre temas atuais como a polinização e os perigos das redes sociais.,Positivo,5.0
"A família toda saiu dando boas risadas. Minhas filhas não param de cantar as musicas, foi uma experiência boa com a família.",Positivo,5.0
O filme é ruim gráficos piores ainda eu não recomendo assistir prefiro Wicked esse filme é muito ruim,Negativo,0.5
"O Som ao Redor é uma alma cinematográfica de como o acumulo de pequenas coisas e tensões do cotidiano podem nos presentear com um extraordinário filme. O novato  e talentoso diretor  Kleber Mendonça Filho, faz do longa uma obra incomum: uma linguagem experimental com momentos de um jugo sonoro imagético que lembra David Lynch, um dos filmes mais interessantes dos últimos tempos no cinema nacional.Tudo aqui é de uma sensibilidade ...Leia Mais",Positivo,5.0
"Um argumento simples com muitas possibilidades de abordagem. Essa é a base da trama de Kleber Mendonça Filho. E é isso mesmo que ele faz: cria diversos contextos e diversos personagens, trabalhando suas realidades e explorando as relações entre eles e as tão conhecidas diferenças sociais, tão visíveis em nosso país. Com uma trama baseada no cotidiano, em acontecimentos pequenos e desimportantes, e em coisinhas do dia-a-dia, ele retrata ...Leia Mais",Positivo,4.0
"Com um dos roteiros mais realistas e coerentes da história do cinema, ""O Som Ao Redor"" é um daqueles raros filmes aparentemente simples, mas com tantas subjetividades que impressiona. Retratando as contradições, realidades da classe média brasileira atual (fazendo claras assimilações com o passado brasileiro) o filme constrói um grande olhar sobre a sociedade; sem julgamentos, apenas observa, aponta as contradições e mostrando toda a ...Leia Mais",Positivo,4.5
"Engraçado como no início do filme eu tava bem incomodado com algo que eu nem sabia o que era. Sei lá. Talvez falta de identificação com aqueles personagens, talvez o sotaque... Mas o filme vai crescendo de forma absurda, tal que quando terminou eu só consegui pensar em ""obra-prima, obra-prima, obra-prima"".
Tem umas coisas que me incomodam na história (a forma como o término do relacionamento do protagonista com Sofia nos é apresentada, ...Leia Mais",Positivo,4.5
"Se comparado ao capítulo anterior, a Obra-prima O Prisioneiro de Azkaban, Cálice de Fogo pode até parecer uma decepção, mas o filme tem personalidade suficiente para se afirmar e garantir o lugar entre os melhores de toda saga do jovem bruxo. Cálice de Fogo é uma aventura infanto-juvenil bem satisfatória que mantém o padrão geral de qualidade da já clássica franquia.",Positivo,4.0
"Eu nao vou sair criticando todos os filmes do Harry Potter, entao comecei por esse. Bem... Eu detestava sem mesmo ter visto um, mas um dia deu vontade de assistir, nao sei por que, vicei, vi ooutro e outro entao cresceu e floresceu o amor por Harry Potter, dentro de mim. Amo, e saio recomendando e dando na cara de quem fala mal, sou Potterhead, declarado e adoro todos os filmes, estou pretendendo comprar o kit de filme e livros, é uma saga ...Leia Mais",Positivo,5.0
-Veio pra arrebentar mas uma vez..isso é só o que podemos falar sobre essa grande série.Emma Watson cada vez mas perfeita no que faz.,Positivo,4.0
"É aquele filme pipocão de aventura, tanto quem leu o livro como quem não leu vão gostar do que vão ver aqui, óbvio que muita coisa foi cortada, mas o filme flui muito bem. O roteiro é muito bom e as atuações são bem convincentes. Muito bom.",Positivo,4.0
"Quando O Telefone Preto estreou em 2022, passou quase despercebido em meio à retomada do cinema pós-pandemia. Mesmo sem grande campanha de divulgação, o longa de Scott Derrickson conquistou público e crítica ao entregar uma história de terror contida, de atmosfera sufocante e com uma força dramática que o diferenciava dos sustos fáceis do gênero. Agora, três anos depois, O Telefone Preto 2 chega expandindo esse universo sombrio — e, ...Leia Mais",Positivo,3.5
"Não se trata de uma série de continuações infinita, mas da conclusão da estória. Após todo e estresse pós traumático, os irmãos e o pai tentam continuar suas vidas em meio a pesadelos terríveis. Sensacional. Roteiro, direção, atores, cenas, enfim, perfeito. Os adolescentes Mason e Madeleine como irmãos apresentam química e interpretações individuais perfeitas. O espírito do sequestrador aterrorisa as pessoas envolvidas em estilo ...Leia Mais",Positivo,5.0
"Com clara inspiração em freddy krueger. Telefone preto 2 não tem a mesma tensão do primeiro, mas mantem a mesma violencia e gore",Positivo,3.5
Boa continuação com foco mais no sobrenatural.Lembra muito a Hora do Pesadelo. Filme coerente do começo ao fim.,Positivo,3.5
Ótima experiência na versão legendada e 2D. Atores funcionam e a adaptação para filme foi muito bem elaborada. Empoderamento das mulheres e protagonismo da raça negra. Atriz que interpreta Ariel canta e encanta. Não perca!,Positivo,4.5
"A Pequena Sereia é a adaptação do clássico para o Live Action, como roteiro principal uma jovem sereia faz um acordo com uma bruxa do mar para trocar sua bela voz por pernas humanas para que possa descobrir o mundo acima da água e impressionar um príncipe. A magnífica atuação de Halle Bailey (Ariel) e de Melissa McCarthy (Úrsula) a trilha sonora acompanhou a animação mais com um toque de novidade, Rob Marshall e sua equipe fizeram um filme bom.",Positivo,3.5
"Filme MUITO bem feito, atriz perfeita tanto atuando quanto cantando. Um uso criativo e inteligente da fauna marinha principalmente nos contextos musicais. Filme divertido e gostoso de assistir para toda família.Para quem é fã a nostalgia é certa, mt bom rever momentos marcantes da infância.Só não gostei de algumas cenas em que a imagem ficou muito escura e da música do Eric que não tem no primeiro filme.",Positivo,5.0
"Filme lindo, colorido e bastante nostálgico. Eu fui com medo que fosse uma bomba, mas saí do cinema encantada e feliz.A Halle é uma fofa. Ela é perfeita para a Ariel. Amei também o Sebastião, mais do que no desenho até.Enfim, valeu muito a pena e não vejo  hora de assistir dublado para cantar junto.",Positivo,5.0
"O diretor Jafar Panahi, instala duas câmeras dentro de um táxi e começa a dirigir pelas ruas de Teerã. Ele pega passageiros e vai conversando com eles ao longo dos trajetos. São pessoas de classe social média e das mais variadas posições políticas e religiosas. Entre os assuntos, humor e drama se misturam nas discussões sobre costumes, leis, religião e a política nacional. O filme nos mostra quanto a cultura deles é diferente da ...Leia Mais",Negativo,3.0
"O cineasta iraniano usa o interior de um Taxi para apresentar relatos e críticas ao país. A falta de direito das mulheres, a pena de morte e a pobreza do país são alguns dos temas abordados.",Positivo,3.5
"História perfeita, interpretações insperadas, fotografia maravilhosa, enfim...Simplesmente meu filme preferido!",Positivo,5.0
"Simplesmente amo esse filme...Já assisti nem sei quantas vezes, nunca me canso...Totalmente encantada pela parceria Joe Wright, Keira Knightley e Mattew Macfadyen, que se repetiu agora em Anna Karenina...Sou aficcionada pelas obras da Jane Austen e sei como é dificil fazer uma adaptação das obras dela...Mas eu amo como o diretor Joe Wright faz essa leitura sobre Orgulho e Preconceito. Esse é um dos poucos filmes que posso dizer que não ...Leia Mais",Positivo,5.0
"Pride & Prejudice é um dos meus filmes favoritos, sem dúvidas Um belíssimo drama de época, que toca em vários temas ainda muito atuais e apresenta uma inspirada atuação principal de Keira Knightley. Claro, é mais uma das tantas adaptações da obra de maior sucesso de Jane Austen, mas as excelentes atuações do elenco principal e uma sensibilidade moderna do então novato diretor Joe Wright fazem desta peça de época ...Leia Mais",Positivo,5.0
